"EMP_ID","EMP_FNAME","EMP_LNAME","DATE_JOINING","DATE_SEPERATION","EMAIL","ADDRESS","SSN","IDDEPARTMENT","IS_ACTIVE_STATUS"
20,"Jennifer","Ball",28-11-19,05-01-22,"brandymartinez@example.com","Lake Tina, IA 30662""",404767927,16,"N"
21,"Stacy","Logan",01-12-19,,"uturner@example.net","""771 Jennifer Bypass",633814140,14,"Y"
22,"Jeffrey","Jones",05-01-19,,"uscott@example.com","Candicefurt, AS 18171""",258505600,26,"Y"
23,"Cheryl","Christensen",01-12-18,,"morganstephen@example.com","""219 Tammy Meadows",260911313,14,"Y"
24,"James","Carpenter",10-07-19,05-01-22,"christineguzman@example.com","West Brianshire, NE 37671""",124291244,20,"N"
25,"Matthew","Espinoza",15-09-18,,"roger32@example.net","""1163 Ethan Underpass Apt. 901",402431746,27,"Y"
26,"Vickie","Gonzalez",10-04-18,05-01-23,"lolson@example.com","East Michael, CT 20442""",925078857,16,"N"
27,"Denise","Acosta",25-08-18,,"emilylee@example.org","""844 Patel Keys",375062322,25,"Y"
28,"Emily","Frederick",10-08-18,,"caseyjoseph@example.com","Lake Lauren, ME 06845""",634799699,17,"Y"
29,"Anthony","Larson",15-10-19,,"richardsoncheryl@example.org","""98044 Wood Trafficway Suite 896",469016851,21,"N"
30,"Noah","Terry",10-05-23,,"amandabooth@example.net","Billyhaven, KS 16701""",487128573,1,"Y"
31,"Richard","Tran",28-11-19,05-01-22,"onelson@example.net","""924 Johnson Glens",501902807,16,"N"
32,"Nicole","Elliott",01-12-19,,"miguelrogers@example.org","Steveshire, KS 14385""",155620842,14,"Y"
33,"David","Barber",05-01-19,,"christinawalker@example.net","""0145 Bowers Fort Suite 027",340817770,26,"Y"
34,"Dillon","Jones",01-12-18,,"joshuajohnson@example.net","South Deannaland, LA 85459""",833281856,14,"Y"
35,"Diamond","Gonzalez",10-07-19,05-01-22,"sjoseph@example.com","""763 Rangel Roads Suite 571",525996493,20,"N"
36,"Deanna","Baker",15-09-18,,"mcbridebriana@example.com","East Ryan, NY 85809""",616581558,27,"Y"
37,"Teresa","Harris",10-04-18,05-01-23,"bsalas@example.net","""971 Chavez Garden Suite 571",930993929,16,"N"
38,"Patrick","Sparks",25-08-18,,"nelsonmark@example.org","Port Emily, NE 23873""",909543569,25,"N"
39,"Lance","Scott",10-08-18,,"peterdavis@example.com","""68405 Amanda Island",925578003,17,"Y"
40,"Chelsea","Dodson",15-10-19,,"daviscody@example.net","Lake Vickie, VI 12026""",642107275,21,"Y"
41,"Juan","Harris",02-10-14,,"fryrenee@example.net","""497 Alexander Camp",393607883,1,"Y"
42,"Donna","Adams",02-10-14,,"christopher30@example.net","Daltonhaven, MN 11752""",246634358,2,"Y"
43,"Emily","Ryan",02-10-14,,"mccormickbriana@example.net","""81336 Jacobson Cove Apt. 662",838811834,3,"Y"
44,"Jacob","Henry",02-10-14,,"vanessabailey@example.com","Kimberlymouth, OK 53606""",471655403,4,"Y"
45,"Joseph","Jones",02-10-14,,"cshepard@example.org","""99962 Woods Path Apt. 757",566403689,5,"Y"
46,"Allison","Miller",02-10-14,,"zrichardson@example.org","Zacharyshire, MN 46324""",129657421,6,"Y"
47,"Jason","Costa",02-10-14,,"edwardmorrow@example.com","""5589 Lance Corners",794001594,7,"Y"
48,"Jennifer","Haynes",02-10-14,,"joshua90@example.net","Michaelburgh, OH 60130""",964443879,8,"Y"
49,"Ashley","Stein",02-10-14,,"krystal59@example.org","""8049 Adrian Throughway",414092098,9,"Y"
50,"Holly","Palmer",02-10-14,,"marygriffin@example.net","East Josephton, CO 34654""",726379798,10,"Y"
51,"Martha","Smith",02-10-14,,"rebecca99@example.net","""Unit 3517 Box 7175",625642285,11,"Y"
52,"Christian","Robertson",02-10-14,,"bushjoshua@example.net","DPO AE 73139""",891778968,12,"Y"
53,"Lisa","Dudley",02-10-14,,"kperkins@example.net","""1786 Debbie Terrace",336695154,13,"Y"
54,"Jennifer","Meyers",02-10-14,,"johnsonluis@example.com","New Kathyfurt, CT 94630""",216467215,14,"Y"
55,"Mr.","Matthew",02-10-14,,"lblanchard@example.net","""7808 Melanie Rue",136100833,15,"N"
56,"Aaron","Turner",02-10-14,,"rodriguezmonica@example.com","Shirleyhaven, RI 48773""",443298172,16,"N"
57,"Ellen","Wright",02-10-14,,"michaellee@example.net","""19041 Nicholson Field Apt. 592",311230784,17,"N"
58,"Jane","Stafford",02-10-14,,"michaelrowe@example.com","East Andreaborough, DE 01264""",974891597,18,"Y"
59,"Nichole","Mckinney",02-10-14,,"phillipswilliam@example.com","""4645 Campos View",868868976,19,"Y"
60,"Patricia","Carrillo",02-10-14,,"nealbrandi@example.org","Port Kim, AR 99466""",810734855,20,"Y"
61,"Edward","Allen",02-10-14,,"xadams@example.com","""09780 Johnson Manor",479489642,21,"Y"
62,"Kendra","Russell",02-10-14,,"gregoryjohnson@example.net","Port Samuelmouth, NY 96222""",935471039,22,"Y"
63,"Destiny","Nicholson",02-10-14,,"dana26@example.org","""8796 Rodney Vista Apt. 090",434075072,23,"Y"
64,"Alexander","Matthews",02-10-14,,"jvelazquez@example.com","Stuartton, MA 32158""",573643588,24,"Y"
65,"Jeffrey","Vega",02-10-14,,"jayers@example.org","""3237 Scott Centers",785307933,25,"Y"
66,"Christina","Dalton",02-10-14,,"josebriggs@example.net","East Nicholasland, IN 92402""",811295269,26,"Y"
67,"Lauren","Campbell",02-10-14,02-10-18,"rebeccayoung@example.net","""817 Julie Alley",159971018,27,"N"
68,"David","Mason",02-10-14,02-10-18,"coltonlam@example.org","Kimberlyland, CO 43722""",714135708,1,"N"
69,"Maria","Gentry",02-10-14,02-10-18,"gallegoskathleen@example.net","""888 Castro Field",111377409,2,"N"
70,"Deborah","Collins",02-10-14,02-10-18,"julie57@example.org","Freemanshire, FM 38384""",187814750,3,"N"
71,"Michael","Peterson",02-10-14,02-10-18,"cmiller@example.net","""498 Thomas Glen Apt. 314",488436028,4,"N"
72,"William","Caldwell",02-10-14,02-10-18,"christianmorgan@example.com","North Bianca, MS 81219""",847172402,5,"N"
73,"Linda","White",02-10-14,02-10-18,"janicedunn@example.net","""2256 Robert Trail Suite 219",132945328,6,"N"
74,"Michelle","Miller",02-10-14,02-10-18,"sarahpowers@example.net","West Andrew, AR 42462""",349210973,7,"N"
75,"Sherri","Owens",02-10-14,,"austin03@example.net","""2933 Jennifer Rapids",559964649,8,"N"
76,"Robert","Day",02-10-14,,"perkinsmaria@example.org","Aprilmouth, OH 09009""",429282057,9,"Y"
77,"Andrea","Levine",02-10-14,,"ianbrown@example.org","""950 Cynthia Causeway",737429945,10,"Y"
78,"James","Harris",02-10-14,,"ofrazier@example.org","Willistown, IA 71156""",777328798,11,"Y"
79,"April","Gonzalez",02-10-14,,"ymiller@example.org","""PSC 4366, Box 9602",968052725,12,"Y"
80,"Chase","West",02-10-14,,"hmassey@example.net","APO AA 58037""",833526949,13,"Y"
81,"Richard","Mendez",02-10-14,,"william33@example.net","""USNV Buck",881916036,14,"Y"
82,"Christopher","Martinez",02-10-14,,"hberg@example.net","FPO AP 18208""",205720841,15,"Y"
83,"Lee","Collins",02-10-14,,"turnerjon@example.com","""4849 Loretta Villages",754480635,16,"Y"
84,"Jose","Romero",02-10-14,,"mwhite@example.net","East Brian, IN 88067""",968791178,17,"Y"
85,"Ashley","Lucas",02-10-14,,"sandovalapril@example.net","""Unit 0632 Box 4702",567117161,18,"Y"
86,"Duane","Duncan",02-10-14,,"robin66@example.com","DPO AP 55248""",692796134,19,"Y"
87,"Elizabeth","Scott",02-10-14,,"nicholasmeyers@example.org","""670 Paul Isle",698260708,20,"Y"
88,"Matthew","Luna",02-10-14,,"jeremyvasquez@example.com","Brianstad, MT 55405""",248680279,21,"Y"
89,"Rebecca","Reyes",02-10-14,,"plewis@example.org","""00336 Savage Island",530811045,22,"Y"
90,"Sarah","Powell",02-10-14,,"calhounkelly@example.org","North Tanya, SC 55402""",380193465,23,"Y"
91,"Antonio","Mccall",02-10-14,,"juliakelly@example.net","""6608 Lisa Tunnel",651169317,24,"Y"
92,"Sarah","Boyd",02-10-13,,"dwatts@example.org","Matthewstad, MN 08177""",448343637,25,"Y"
93,"David","Hawkins",02-10-13,,"michaelwarner@example.com","""993 Hunter Squares Apt. 437",370797821,26,"Y"
94,"David","Chapman",02-10-13,,"garyriley@example.com","Port Sheilatown, CA 09096""",530216092,27,"Y"
95,"Kimberly","Hernandez",02-10-13,,"kingjacob@example.com","""006 Daugherty Forest",562577558,1,"Y"
96,"Robert","Perez",02-10-13,,"wagnersarah@example.net","South Danielmouth, TN 48233""",433087970,2,"Y"
97,"James","Palmer",02-10-13,,"kjackson@example.org","""92590 Erickson Ramp",570917164,3,"Y"
98,"Joshua","Clark",02-10-13,,"samueljones@example.com","Frankbury, WA 21042""",914328842,4,"Y"
99,"Brittany","Collins",02-10-13,,"jennifer69@example.net","""6791 Riggs Avenue Suite 321",531214210,5,"Y"
100,"Angela","Park",02-10-13,,"williamsjames@example.net","West Michellefort, MO 61147""",705689027,6,"Y"
